Nested Sampling Global Log-Evidence           :    0.142718830138856731E+03  +/-    0.350500079119856700E+00
Nested Importance Sampling Global Log-Evidence:    0.140136974610998976E+03  +/-    0.414166889041890154E-01

Dim No.       Mean        Sigma
   1    0.198276481226730812E+04    0.116014551497519669E+02
   2   -0.637900319893688561E+03    0.491731399581361686E+02
   3    0.857488893368755498E+03    0.773663761864691537E+02
   4   -0.610250573685256995E+03    0.538127112397872125E+02
   5    0.159071923724962346E+03    0.140204075755021194E+02
   6    0.981041816569221847E+00    0.141769727391831857E+00
   7    0.780843408118187483E+02    0.268159379513888352E+00
   8    0.191443395171521615E+02    0.604149971780198469E+00
   9    0.373532242470761355E+01    0.895287264367692348E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.198495515076559604E+04
   2   -0.649496200601851342E+03
   3    0.879810191933125225E+03
   4   -0.628781513269365860E+03
   5    0.164636110172315512E+03
   6    0.913580216341701501E+00
   7    0.780142083142074227E+02
   8    0.190270278471665542E+02
   9    0.392731804863878953E+01

MAP Parameters
Dim No.        Parameter
   1    0.198495515076559604E+04
   2   -0.649496200601851342E+03
   3    0.879810191933125225E+03
   4   -0.628781513269365860E+03
   5    0.164636110172315512E+03
   6    0.913580216341701501E+00
   7    0.780142083142074227E+02
   8    0.190270278471665542E+02
   9    0.392731804863878953E+01
