Nested Sampling Global Log-Evidence           :   -0.148769420133750003E+03  +/-    0.414164151994823759E+00
Nested Importance Sampling Global Log-Evidence:   -0.151371323743167210E+03  +/-    0.114670799136513003E-01

Dim No.       Mean        Sigma
   1   -0.120473282417189102E+04    0.113790261385643532E+03
   2   -0.141756792089910641E+04    0.543405510318827965E+02
   3   -0.576178923875411215E+03    0.162753171371817444E+02
   4    0.697701112950007882E+02    0.139605432323197931E+01
   5    0.288687663211136305E+04    0.112708344216652961E+03
   6    0.183558614781704788E+01    0.484359037098056680E-01
   7    0.790778897727450385E+02    0.486418658422455991E-01
   8    0.226433228362238061E+02    0.166739273906346186E+00
   9    0.171131994617091965E+01    0.632726853212228629E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.131667418420896593E+04
   2   -0.147064705152748115E+04
   3   -0.592373498787660992E+03
   4    0.709435646705046565E+02
   5    0.299764369047523542E+04
   6    0.183259641570973475E+01
   7    0.790511012593120057E+02
   8    0.226894859130055764E+02
   9    0.167230192078115492E+01

MAP Parameters
Dim No.        Parameter
   1   -0.131667418420896593E+04
   2   -0.147064705152748115E+04
   3   -0.592373498787660992E+03
   4    0.709435646705046565E+02
   5    0.299764369047523542E+04
   6    0.183259641570973475E+01
   7    0.790511012593120057E+02
   8    0.226894859130055764E+02
   9    0.167230192078115492E+01
