Nested Sampling Global Log-Evidence           :    0.951312562114672460E+02  +/-    0.409141974641075823E+00
Nested Importance Sampling Global Log-Evidence:    0.918948524019173618E+02  +/-    0.953260707599438463E-02

Dim No.       Mean        Sigma
   1    0.262818352420198153E+04    0.269007385458936987E+02
   2   -0.421738861722795627E+04    0.143295886131210949E+03
   3    0.867362538076590499E+04    0.302401471375225412E+03
   4   -0.899920350759740541E+04    0.315964662192297226E+03
   5    0.458008236798934558E+04    0.163430783447461636E+03
   6   -0.915082964977211645E+03    0.334766652570258003E+02
   7    0.490986961806816960E-01    0.416447430769053845E-02
   8    0.473991822432618193E+01    0.165791287963869571E+01
   9    0.122578885057912270E+02    0.281685758192270153E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.261448560906855892E+04
   2   -0.414395534698835127E+04
   3    0.851778833687263250E+04
   4   -0.883559860023141300E+04
   5    0.449512044115397657E+04
   6   -0.897620974353445490E+03
   7    0.504054123386841815E-01
   8    0.559724159149199085E+01
   9    0.123240913218800081E+02

MAP Parameters
Dim No.        Parameter
   1    0.261448560906855892E+04
   2   -0.414395534698835127E+04
   3    0.851778833687263250E+04
   4   -0.883559860023141300E+04
   5    0.449512044115397657E+04
   6   -0.897620974353445490E+03
   7    0.504054123386841815E-01
   8    0.559724159149199085E+01
   9    0.123240913218800081E+02
