Nested Sampling Global Log-Evidence           :    0.823106395215169471E+02  +/-    0.415664408177079003E+00
Nested Importance Sampling Global Log-Evidence:    0.816074454725299603E+02  +/-    0.196182055796829367E-01

Dim No.       Mean        Sigma
   1    0.133180096157429966E+04    0.285441598232046694E+02
   2    0.198250456766288562E+04    0.116002238050068144E+03
   3   -0.304564630401852855E+04    0.175284551846128437E+03
   4    0.193766317588995639E+04    0.116606937646175908E+03
   5   -0.456082394366773315E+03    0.287779249245005460E+02
   6    0.449599905177464620E+00    0.476685450838641653E-01
   7    0.873215119640385069E+02    0.207501442987375440E+00
   8    0.151817661469342831E+02    0.386363339484447621E+00
   9    0.332888466250039627E+01    0.728404444935018436E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.129005762089557538E+04
   2    0.215212958096164220E+04
   3   -0.330184658634204243E+04
   4    0.210796430060037892E+04
   5   -0.498061531256786111E+03
   6    0.510037224336932771E+00
   7    0.874583260006628507E+02
   8    0.154450627116067949E+02
   9    0.329042393906283914E+01

MAP Parameters
Dim No.        Parameter
   1    0.129005762089557538E+04
   2    0.215212958096164220E+04
   3   -0.330184658634204243E+04
   4    0.210796430060037892E+04
   5   -0.498061531256786111E+03
   6    0.510037224336932771E+00
   7    0.874583260006628507E+02
   8    0.154450627116067949E+02
   9    0.329042393906283914E+01
