Nested Sampling Global Log-Evidence           :    0.201069120220261993E+03  +/-    0.397942205610054833E+00
Nested Importance Sampling Global Log-Evidence:    0.198134303451925206E+03  +/-    0.861531599180301311E-02

Dim No.       Mean        Sigma
   1    0.199973276705829676E+04    0.574624400457816709E+01
   2   -0.708857433276636812E+03    0.247902185944763040E+02
   3    0.966134268641176277E+03    0.395862703584219560E+02
   4   -0.682355624998885105E+03    0.277904759661439513E+02
   5    0.176601554654270188E+03    0.725364243094785799E+01
   6    0.105701138762152036E+01    0.553109496182692603E-01
   7    0.779050606170064697E+02    0.120058356267381108E+00
   8    0.192613629633242240E+02    0.228789927561478451E+00
   9    0.353270775065993137E+01    0.281315141483859832E+00
  10    0.259174687813415634E-01    0.177462112627429971E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.199517943140206262E+04
   2   -0.689825971856614615E+03
   3    0.937189056826188335E+03
   4   -0.663406175196463437E+03
   5    0.172084743025596708E+03
   6    0.102356349736827257E+01
   7    0.779697148729841558E+02
   8    0.191546392374226038E+02
   9    0.369608416579039289E+01
  10    0.247838412911800393E-01

MAP Parameters
Dim No.        Parameter
   1    0.199517943140206262E+04
   2   -0.689825971856614615E+03
   3    0.937189056826188335E+03
   4   -0.663406175196463437E+03
   5    0.172084743025596708E+03
   6    0.102356349736827257E+01
   7    0.779697148729841558E+02
   8    0.191546392374226038E+02
   9    0.369608416579039289E+01
  10    0.247838412911800393E-01
