Nested Sampling Global Log-Evidence           :   -0.248378913973505805E+05  +/-    0.437499074689807588E+00
Nested Importance Sampling Global Log-Evidence:   -0.248418950405230607E+05  +/-    0.241769241620930810E-01

Dim No.       Mean        Sigma
   1    0.299999613960055194E+04    0.367606998813550800E-02
   2    0.299998835115306520E+04    0.113300387640422086E-01
   3    0.827624023953338110E+03    0.366840899636706463E+00
   4   -0.299995828427960669E+04    0.400427839829198620E-01
   5    0.115696362770700148E+04    0.357430070707546788E+00
   6    0.199831689472017282E+01    0.162776938292465731E-02
   7    0.698263197301023695E+02    0.250144428238344652E+00
   8    0.241895292397327921E+02    0.457690668962011660E+00
   9    0.983943420252860612E+01    0.149451291431385913E+00
  10    0.999979455442348342E+00    0.192892380456060078E-04

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.299999889371901827E+04
   2    0.299999712625938719E+04
   3    0.827549964598494626E+03
   4   -0.299998238846265940E+04
   5    0.115702001344055861E+04
   6    0.199907935128886916E+01
   7    0.697369614799141146E+02
   8    0.241193912425860937E+02
   9    0.996692257110053959E+01
  10    0.999993903501826487E+00

MAP Parameters
Dim No.        Parameter
   1    0.299999889371901827E+04
   2    0.299999712625938719E+04
   3    0.827549964598494626E+03
   4   -0.299998238846265940E+04
   5    0.115702001344055861E+04
   6    0.199907935128886916E+01
   7    0.697369614799141146E+02
   8    0.241193912425860937E+02
   9    0.996692257110053959E+01
  10    0.999993903501826487E+00
