Nested Sampling Global Log-Evidence           :    0.568596930351034544E+02  +/-    0.380954965073460272E+00
Nested Importance Sampling Global Log-Evidence:    0.529374194994056353E+02  +/-    0.372775310587859579E-01

Dim No.       Mean        Sigma
   1    0.275414509522881553E+04    0.156810350271757386E+02
   2    0.292915192822760901E+04    0.708963354907267842E+02
   3   -0.198856341988840836E+04    0.116291871613908683E+03
   4    0.683930485651467507E+03    0.815070906140605160E+02
   5   -0.930574617607361745E+02    0.205845379216351532E+02
   6    0.667105094847290081E+00    0.331566117648422864E+00
   7    0.751494288086226874E+02    0.435305107376310474E+01
   8    0.211635870220034867E+02    0.750985341265592243E+01
   9    0.152019647980971095E+01    0.260360133649590875E+01
  10    0.247618384044181045E-01    0.286271990865299237E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.275120009453607872E+04
   2    0.294149548083152877E+04
   3   -0.200704937547774671E+04
   4    0.695606529657306055E+03
   5   -0.957753295783563772E+02
   6    0.529402642953465508E+00
   7    0.738575604794556710E+02
   8    0.182683931606912076E+02
   9    0.135749011269372555E+00
  10    0.216695982006456234E-01

MAP Parameters
Dim No.        Parameter
   1    0.275120009453607872E+04
   2    0.294149548083152877E+04
   3   -0.200704937547774671E+04
   4    0.695606529657306055E+03
   5   -0.957753295783563772E+02
   6    0.529402642953465508E+00
   7    0.738575604794556710E+02
   8    0.182683931606912076E+02
   9    0.135749011269372555E+00
  10    0.216695982006456234E-01
