Nested Sampling Global Log-Evidence           :    0.206913123505480030E+03  +/-    0.419634380454291078E+00
Nested Importance Sampling Global Log-Evidence:    0.203800290802310428E+03  +/-    0.876069324702755114E-02

Dim No.       Mean        Sigma
   1   -0.106357422350089928E+05    0.461745585572775042E+03
   2   -0.591878422220363336E+04    0.218748292047389469E+03
   3   -0.191050833603723891E+04    0.668045955366963398E+02
   4    0.157552070985936808E+03    0.495830236293650017E+01
   5    0.122289499683475697E+05    0.456807562655310164E+03
   6    0.554456446513626910E+00    0.338524464169789735E-01
   7    0.782076017394287391E+02    0.104516617904871267E+00
   8    0.187638065483187688E+02    0.210929453339799594E+00
   9    0.686539242044030207E+01    0.966098116132910856E+00
  10    0.232434204475890152E-01    0.162434944151242122E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.105939227580776205E+05
   2   -0.590061979387231622E+04
   3   -0.190289670390228275E+04
   4    0.156464065447635221E+03
   5    0.121882038459256692E+05
   6    0.541015642679247621E+00
   7    0.782421901985237156E+02
   8    0.186425878092665442E+02
   9    0.713731412118940156E+01
  10    0.218485158861700945E-01

MAP Parameters
Dim No.        Parameter
   1   -0.105939227580776205E+05
   2   -0.590061979387231622E+04
   3   -0.190289670390228275E+04
   4    0.156464065447635221E+03
   5    0.121882038459256692E+05
   6    0.541015642679247621E+00
   7    0.782421901985237156E+02
   8    0.186425878092665442E+02
   9    0.713731412118940156E+01
  10    0.218485158861700945E-01
