Nested Sampling Global Log-Evidence           :    0.191179745870481980E+03  +/-    0.430440531323571851E+00
Nested Importance Sampling Global Log-Evidence:    0.189400687450529603E+03  +/-    0.361620758643881393E-01

Dim No.       Mean        Sigma
   1    0.219866074115639594E+04    0.796399896928288626E+02
   2   -0.181775284976604689E+04    0.442407096173385241E+03
   3    0.339998791408740772E+04    0.968312903865399903E+03
   4   -0.330731661235354068E+04    0.104225334590941407E+04
   5    0.156596310089829831E+04    0.551027897482249386E+03
   6   -0.288643647629765383E+03    0.114446784363180015E+03
   7    0.684410207253002723E+00    0.136014165700374695E+00
   8    0.779420037761928910E+02    0.124388161617364587E+00
   9    0.189866789444540380E+02    0.239685708606222347E+00
  10    0.556084291725133983E+01    0.136870128173936112E+01
  11    0.256814311293075380E-01    0.175122122607799277E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.217138048183206956E+04
   2   -0.166331574773644752E+04
   3    0.305621385996294885E+04
   4   -0.293182122464810345E+04
   5    0.136497226297973066E+04
   6   -0.246474830624263632E+03
   7    0.744012625000280980E+00
   8    0.778948035020511043E+02
   9    0.190513303674046099E+02
  10    0.461265413293700988E+01
  11    0.242919473913103048E-01

MAP Parameters
Dim No.        Parameter
   1    0.217138048183206956E+04
   2   -0.166331574773644752E+04
   3    0.305621385996294885E+04
   4   -0.293182122464810345E+04
   5    0.136497226297973066E+04
   6   -0.246474830624263632E+03
   7    0.744012625000280980E+00
   8    0.778948035020511043E+02
   9    0.190513303674046099E+02
  10    0.461265413293700988E+01
  11    0.242919473913103048E-01
