Nested Sampling Global Log-Evidence           :   -0.555613076261538663E+04  +/-    0.474544583730620195E+00
Nested Importance Sampling Global Log-Evidence:   -0.555572555414809085E+04  +/-    0.891991384858924069E-01

Dim No.       Mean        Sigma
   1    0.117665162225920835E+04    0.756800515053486222E+00
   2   -0.408473381561438575E+01    0.630166076760925453E-02
   3    0.117711275670086501E+01    0.486477625131142861E-02
   4    0.106976636925682467E+01    0.132917715903207935E-02
   5    0.133646436202674704E+04    0.363979420179408042E+00
   6    0.696427403245651999E+00    0.127524336208579298E-01
   7    0.814343496832491383E+02    0.204967173507692030E+00
   8    0.189905269799349097E+01    0.573441099990069314E+00
   9    0.531356889513812991E+01    0.620551871805041025E-01
  10    0.996319687199534010E+00    0.871604563221944450E-03

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.117718531476363160E+04
   2   -0.408033524850012164E+01
   3    0.118196386738727632E+01
   4    0.106908443948129417E+01
   5    0.133608845147242937E+04
   6    0.705207759584306926E+00
   7    0.814854668870167558E+02
   8    0.102016288946204536E+01
   9    0.533848581889301244E+01
  10    0.996487233207241196E+00

MAP Parameters
Dim No.        Parameter
   1    0.117718531476363160E+04
   2   -0.408033524850012164E+01
   3    0.118196386738727632E+01
   4    0.106908443948129417E+01
   5    0.133608845147242937E+04
   6    0.705207759584306926E+00
   7    0.814854668870167558E+02
   8    0.102016288946204536E+01
   9    0.533848581889301244E+01
  10    0.996487233207241196E+00
