Nested Sampling Global Log-Evidence           :    0.919899080311274560E+02  +/-    0.345069608140213202E+00
Nested Importance Sampling Global Log-Evidence:    0.874932023939941956E+02  +/-    0.113274419262094639E+00

Dim No.       Mean        Sigma
   1    0.175219884351569567E+04    0.133169972861228059E+00
   2   -0.611441659888737679E-01    0.410944517161709996E-03
   3   -0.229486013119202144E-01    0.460354169678133473E-03
   4    0.135186571510507514E-03    0.128706238356290459E-03
   5    0.111678213240681680E+04    0.519217550976877419E+03
   6    0.286284279425120314E+01    0.100295753188308592E+00
   7    0.898028035144402992E+02    0.174062071955233155E+00
   8    0.352256487007516128E+02    0.488994249007366266E+00
   9    0.321048623831757851E+01    0.207053989349937934E+00
  10    0.744286330374632626E-01    0.503459360829713962E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.175219702929516461E+04
   2   -0.606252795820712009E-01
   3   -0.229008119236853019E-01
   4    0.180446601831828696E-04
   5    0.130765657730378257E+04
   6    0.297331952048442760E+01
   7    0.899853237887329129E+02
   8    0.356462464910362087E+02
   9    0.310916751953346049E+01
  10    0.735012851843492576E-01

MAP Parameters
Dim No.        Parameter
   1    0.175219702929516461E+04
   2   -0.606252795820712009E-01
   3   -0.229008119236853019E-01
   4    0.180446601831828696E-04
   5    0.130765657730378257E+04
   6    0.297331952048442760E+01
   7    0.899853237887329129E+02
   8    0.356462464910362087E+02
   9    0.310916751953346049E+01
  10    0.735012851843492576E-01
