Nested Sampling Global Log-Evidence           :    0.186963800062862788E+03  +/-    0.428188304258040664E+00
Nested Importance Sampling Global Log-Evidence:    0.184436937527101463E+03  +/-    0.610614588654392054E-01

Dim No.       Mean        Sigma
   1    0.264214115644397543E+04    0.212286557601518879E+02
   2   -0.429136753707337630E+04    0.113342609569654300E+03
   3    0.882928934856797059E+04    0.239551886641529222E+03
   4   -0.916118768684383576E+04    0.250525807566552658E+03
   5    0.466328775745705207E+04    0.129653232746125582E+03
   6   -0.931950728669406317E+03    0.265671000441087060E+02
   7    0.550831883631589456E-01    0.388848961348206698E-02
   8    0.592080025531595133E+01    0.510254357158293703E+00
   9    0.123422638676590921E+02    0.169453352614137992E+00
  10    0.268179536105298856E-01    0.182080091716293026E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.263611804673021834E+04
   2   -0.425939427574225465E+04
   3    0.876159534410314882E+04
   4   -0.908976936075785670E+04
   5    0.462577351285889017E+04
   6   -0.924108855259040865E+03
   7    0.575053933458066560E-01
   8    0.581935753134671163E+01
   9    0.122999790346247746E+02
  10    0.260373846664183443E-01

MAP Parameters
Dim No.        Parameter
   1    0.263611804673021834E+04
   2   -0.425939427574225465E+04
   3    0.876159534410314882E+04
   4   -0.908976936075785670E+04
   5    0.462577351285889017E+04
   6   -0.924108855259040865E+03
   7    0.575053933458066560E-01
   8    0.581935753134671163E+01
   9    0.122999790346247746E+02
  10    0.260373846664183443E-01
