Nested Sampling Global Log-Evidence           :    0.186912954458796378E+03  +/-    0.400354515898020846E+00
Nested Importance Sampling Global Log-Evidence:    0.184343798952490914E+03  +/-    0.105316176080850164E-01

Dim No.       Mean        Sigma
   1    0.180261904841798423E+04    0.223959292867861173E+02
   2    0.772525998549412378E+02    0.886738663147775696E+02
   3   -0.188413589820901393E+03    0.129675172777246189E+03
   4    0.569522394760478363E+02    0.829582374637219147E+02
   5    0.228092612262193617E+01    0.196060801211095850E+02
   6    0.492700142748001890E+00    0.507175342061743986E-01
   7    0.782594379081894971E+02    0.998553958451078305E-01
   8    0.187101756168339115E+02    0.196105889256143751E+00
   9    0.750036388901325335E+01    0.114487583314850339E+01
  10    0.183183369108243232E-01    0.140334567857139858E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.178611369796087274E+04
   2    0.142244297054233357E+03
   3   -0.282712947146481383E+03
   4    0.116655202382468815E+03
   5   -0.116483763388278021E+02
   6    0.452213206244390598E+00
   7    0.782387869502305193E+02
   8    0.187225161387130825E+02
   9    0.795891375996073869E+01
  10    0.179117489770042326E-01

MAP Parameters
Dim No.        Parameter
   1    0.178611369796087274E+04
   2    0.142244297054233357E+03
   3   -0.282712947146481383E+03
   4    0.116655202382468815E+03
   5   -0.116483763388278021E+02
   6    0.452213206244390598E+00
   7    0.782387869502305193E+02
   8    0.187225161387130825E+02
   9    0.795891375996073869E+01
  10    0.179117489770042326E-01
