Nested Sampling Global Log-Evidence           :   -0.105969585165380919E+07  +/-    0.599497859995318683E+00
Nested Importance Sampling Global Log-Evidence:   -0.105969395142271952E+07  +/-    0.892874665614369206E-01

Dim No.       Mean        Sigma
   1    0.503727735255466996E+03    0.142732902022321370E-04
   2   -0.525396473847793422E+00    0.781174811092381048E-06
   3   -0.134599454118410700E+01    0.604186503073969302E-06
   4   -0.256254865313111813E+00    0.735685887118112208E-07
   5    0.110106284800342860E+04    0.863167457503109830E-04
   6    0.249104017279847234E+01    0.386509810789741344E-04
   7    0.899999652499638216E+02    0.251234815069570377E-04
   8    0.353593780775090636E+02    0.373147546378006421E-03
   9    0.634977696668359505E-03    0.930636935565941272E-04

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.503727743732725003E+03
   2   -0.525396010589798124E+00
   3   -0.134599488437567061E+01
   4   -0.256254895307090891E+00
   5    0.110106279422883517E+04
   6    0.249099966222644076E+01
   7    0.899999876865500426E+02
   8    0.353592556670223601E+02
   9    0.550355084058258819E-03

MAP Parameters
Dim No.        Parameter
   1    0.503727743732725003E+03
   2   -0.525396010589798124E+00
   3   -0.134599488437567061E+01
   4   -0.256254895307090891E+00
   5    0.110106279422883517E+04
   6    0.249099966222644076E+01
   7    0.899999876865500426E+02
   8    0.353592556670223601E+02
   9    0.550355084058258819E-03
