Nested Sampling Global Log-Evidence           :   -0.836256335045906529E+07  +/-    0.601305931106523861E+00
Nested Importance Sampling Global Log-Evidence:   -0.836256231054366194E+07  +/-    0.470471773045307851E-01

Dim No.       Mean        Sigma
   1    0.179358102482958452E+04    0.570931608089285481E-04
   2   -0.304463766901687194E+00    0.107776195865045729E-06
   3    0.200157487331443701E+00    0.493168500845149543E-06
   4    0.936051493907492788E-01    0.197123833825036192E-07
   5    0.126172928438312670E+04    0.105561709939135605E-02
   6    0.971488409134213665E-01    0.859469613776198229E-05
   7    0.899912259042322660E+02    0.948893963915462440E-05
   8    0.113621736073942809E+02    0.349548484043092330E-02
   9    0.593226659256546096E+01    0.145851412884716054E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.179358102641686150E+04
   2   -0.304463707987160603E+00
   3    0.200157843149233017E+00
   4    0.936051491851976891E-01
   5    0.126172892123763472E+04
   6    0.971634848506739701E-01
   7    0.899912326967618412E+02
   8    0.113570445384923211E+02
   9    0.593285865231693155E+01

MAP Parameters
Dim No.        Parameter
   1    0.179358102641686150E+04
   2   -0.304463707987160603E+00
   3    0.200157843149233017E+00
   4    0.936051491851976891E-01
   5    0.126172892123763472E+04
   6    0.971634848506739701E-01
   7    0.899912326967618412E+02
   8    0.113570445384923211E+02
   9    0.593285865231693155E+01
