Nested Sampling Global Log-Evidence           :    0.132114057475360283E+03  +/-    0.384983513234481378E+00
Nested Importance Sampling Global Log-Evidence:    0.129474279504702594E+03  +/-    0.353517595516950889E-01

Dim No.       Mean        Sigma
   1    0.261581879021288432E+04    0.505928682275888804E+02
   2   -0.415109570460191662E+04    0.267835938600078862E+03
   3    0.853404453924441805E+04    0.561502584453148074E+03
   4   -0.885438236784631772E+04    0.582725584687821311E+03
   5    0.450586360959536614E+04    0.299398506834762543E+03
   6   -0.900034272469544931E+03    0.609352104076748518E+02
   7    0.496963287773151130E-01    0.996322885963239410E-02
   8    0.399893501789516748E+01    0.219020886979654517E+01
   9    0.123076047500378660E+02    0.439046906885202426E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.261406233604105728E+04
   2   -0.414370797749192752E+04
   3    0.852275265654359828E+04
   4   -0.884721316674880654E+04
   5    0.450461250549313081E+04
   6   -0.900290997509200679E+03
   7    0.543746899429185457E-01
   8    0.526136803908632888E+01
   9    0.121298970574533200E+02

MAP Parameters
Dim No.        Parameter
   1    0.261406233604105728E+04
   2   -0.414370797749192752E+04
   3    0.852275265654359828E+04
   4   -0.884721316674880654E+04
   5    0.450461250549313081E+04
   6   -0.900290997509200679E+03
   7    0.543746899429185457E-01
   8    0.526136803908632888E+01
   9    0.121298970574533200E+02
