Nested Sampling Global Log-Evidence           :    0.112109941530062557E+03  +/-    0.398863918738896039E+00
Nested Importance Sampling Global Log-Evidence:    0.109634428697108277E+03  +/-    0.238907036105658221E+00

Dim No.       Mean        Sigma
   1    0.198089685859862857E+04    0.751229476273106211E+01
   2   -0.628130365599972833E+03    0.328032665953032634E+02
   3    0.838826844883860872E+03    0.528166037724704438E+02
   4   -0.594851363332223286E+03    0.371738529292956983E+02
   5    0.154467376667076707E+03    0.966782464583486778E+01
   6    0.103512592410993287E+01    0.593682547787178702E-01
   7    0.782566235420287484E+02    0.170475416019832654E+00
   8    0.188329659638619304E+02    0.246739026807601930E+00
   9    0.265055731807183648E+01    0.237763961138347579E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.197745719970335222E+04
   2   -0.613227055138945843E+03
   3    0.815215944107752421E+03
   4   -0.578661794775909357E+03
   5    0.150401978536879597E+03
   6    0.100728532818213501E+01
   7    0.783200147067799008E+02
   8    0.188302288725050779E+02
   9    0.283403689537237113E+01

MAP Parameters
Dim No.        Parameter
   1    0.197745719970335222E+04
   2   -0.613227055138945843E+03
   3    0.815215944107752421E+03
   4   -0.578661794775909357E+03
   5    0.150401978536879597E+03
   6    0.100728532818213501E+01
   7    0.783200147067799008E+02
   8    0.188302288725050779E+02
   9    0.283403689537237113E+01
