Nested Sampling Global Log-Evidence           :   -0.931233271402009905E+03  +/-    0.458012139259059425E+00
Nested Importance Sampling Global Log-Evidence:   -0.934487091388604313E+03  +/-    0.102224068981463332E-01

Dim No.       Mean        Sigma
   1    0.119827770351016074E+02    0.168346101294998447E-01
   2    0.268630604209683277E+01    0.159176860287579200E-01
   3   -0.156139426316364638E+01    0.584635623877258204E-02
   4    0.204386478485677314E+00    0.978633732540971479E-03
   5   -0.994922370234600784E-02    0.622911736627472181E-04
   6    0.998939409106790355E+00    0.105557004278146482E-02
   7    0.586157454473129889E+02    0.541484251238161518E-01
   8    0.392378422357360490E+01    0.413203611471097410E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.119951396895252778E+02
   2    0.267440827770452216E+01
   3   -0.155711304070111645E+01
   4    0.203703627821724353E+00
   5   -0.990848033681146489E-02
   6    0.999977041081403062E+00
   7    0.586577205399459203E+02
   8    0.388988673401488461E+01

MAP Parameters
Dim No.        Parameter
   1    0.119951396895252778E+02
   2    0.267440827770452216E+01
   3   -0.155711304070111645E+01
   4    0.203703627821724353E+00
   5   -0.990848033681146489E-02
   6    0.999977041081403062E+00
   7    0.586577205399459203E+02
   8    0.388988673401488461E+01
