Nested Sampling Global Log-Evidence           :    0.126363020607022662E+03  +/-    0.421479446837279670E+00
Nested Importance Sampling Global Log-Evidence:    0.124667619712585974E+03  +/-    0.111305447735414887E-01

Dim No.       Mean        Sigma
   1    0.199517419352215938E+04    0.762620358798419495E+01
   2   -0.692685379570553209E+03    0.334348171264991265E+02
   3    0.947431235899696617E+03    0.542443746250863867E+02
   4   -0.675300035909937037E+03    0.386089556653517434E+02
   5    0.176510624345382269E+03    0.101757535876946967E+02
   6    0.928683226363013370E+00    0.463685250555850720E-01
   7    0.779793557421664190E+02    0.151473120373251335E+00
   8    0.186900387602083988E+02    0.205291860313371183E+00
   9    0.362204725627129731E+01    0.278941432677511369E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.199340246507123811E+04
   2   -0.684834530356471078E+03
   3    0.934582457543965575E+03
   4   -0.666091690702029155E+03
   5    0.174069709222672827E+03
   6    0.926731937818880303E+00
   7    0.779935175881428222E+02
   8    0.186804240966911514E+02
   9    0.367800953020117127E+01

MAP Parameters
Dim No.        Parameter
   1    0.199340246507123811E+04
   2   -0.684834530356471078E+03
   3    0.934582457543965575E+03
   4   -0.666091690702029155E+03
   5    0.174069709222672827E+03
   6    0.926731937818880303E+00
   7    0.779935175881428222E+02
   8    0.186804240966911514E+02
   9    0.367800953020117127E+01
