Nested Sampling Global Log-Evidence           :    0.118916318166785445E+03  +/-    0.343038226853516426E+00
Nested Importance Sampling Global Log-Evidence:    0.115326665831195712E+03  +/-    0.605928831810413210E-01

Dim No.       Mean        Sigma
   1    0.174199656241168918E+04    0.105943548287812177E+03
   2    0.317380226146957227E+03    0.421325646712988089E+03
   3   -0.540317408862808065E+03    0.619865839806330769E+03
   4    0.283013837679900064E+03    0.399657878533615872E+03
   5   -0.514565174192236086E+02    0.953248833634922050E+02
   6    0.433188395903175094E+00    0.167201829049374057E+00
   7    0.785545366333585804E+02    0.217292360484608960E+01
   8    0.186543475733500408E+02    0.368301091181519569E+01
   9    0.100180618214787565E+02    0.476717612929786050E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.174941708709636805E+04
   2    0.288140766400210850E+03
   3   -0.497185558338194824E+03
   4    0.254735750539864966E+03
   5   -0.445149361636576941E+02
   6    0.395496094911592655E+00
   7    0.783675696750601389E+02
   8    0.189477411597645897E+02
   9    0.949499803295048395E+01

MAP Parameters
Dim No.        Parameter
   1    0.174941708709636805E+04
   2    0.288140766400210850E+03
   3   -0.497185558338194824E+03
   4    0.254735750539864966E+03
   5   -0.445149361636576941E+02
   6    0.395496094911592655E+00
   7    0.783675696750601389E+02
   8    0.189477411597645897E+02
   9    0.949499803295048395E+01
