Nested Sampling Global Log-Evidence           :   -0.128731923690096411E+13  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.128731923690000928E+13  +/-    0.596683831379936150E-01

Dim No.       Mean        Sigma
   1    0.468772259868635359E+02    0.150789149292391754E-05
   2    0.497125564335356245E+02                         NaN
   3    0.468275188662553390E+02                         NaN
   4    0.427459694378175570E+02    0.387384338599966089E-05
   5    0.435135629605680236E+02                         NaN
   6    0.497948701036940307E+02                         NaN
   7    0.683290798302148339E+00    0.428003269921096311E-07
   8    0.594796363790781957E+01                         NaN
   9    0.142160854886964039E+02    0.695103632789290040E-06

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.468772259860247971E+02
   2    0.497125564352789695E+02
   3    0.468275188717675377E+02
   4    0.427459694378366635E+02
   5    0.435135629658846597E+02
   6    0.497948700973023364E+02
   7    0.683290798381879783E+00
   8    0.594796363703485298E+01
   9    0.142160854893415518E+02

MAP Parameters
Dim No.        Parameter
   1    0.468772259860247971E+02
   2    0.497125564352789695E+02
   3    0.468275188717675377E+02
   4    0.427459694378366635E+02
   5    0.435135629658846597E+02
   6    0.497948700973023364E+02
   7    0.683290798381879783E+00
   8    0.594796363703485298E+01
   9    0.142160854893415518E+02
