Nested Sampling Global Log-Evidence           :    0.515031860876318159E+01  +/-    0.420697809590282579E+00
Nested Importance Sampling Global Log-Evidence:    0.249922162746356191E+01  +/-    0.158257111321600634E-01

Dim No.       Mean        Sigma
   1    0.746769231216213303E+01    0.276245646911584734E-03
   2   -0.256925807844031295E+01    0.917653500471946049E-03
   3   -0.386754906808895460E-01    0.212505603252394204E-02
   4    0.450952754754577606E-01    0.101668923900075248E-01
   5    0.118001342233247208E+00    0.110643585796409392E-01
   6    0.793440359862671141E+00    0.484865480943982408E+00
   7    0.776621886145181008E+02    0.466646188778613857E+00
   8    0.870010214332556053E+01    0.211117615143816728E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.746741111542952041E+01
   2   -0.257025177262551807E+01
   3   -0.364307246248785077E-01
   4    0.572079577374893233E-01
   5    0.129061882838122699E+00
   6    0.299614938737142955E+00
   7    0.774729371055840659E+02
   8    0.580426903197299637E+01

MAP Parameters
Dim No.        Parameter
   1    0.746741111542952041E+01
   2   -0.257025177262551807E+01
   3   -0.364307246248785077E-01
   4    0.572079577374893233E-01
   5    0.129061882838122699E+00
   6    0.299614938737142955E+00
   7    0.774729371055840659E+02
   8    0.580426903197299637E+01
