Nested Sampling Global Log-Evidence           :    0.128717213974903672E+03  +/-    0.396023157175871721E+00
Nested Importance Sampling Global Log-Evidence:    0.123406260884977627E+03  +/-    0.132900974288089179E-01

Dim No.       Mean        Sigma
   1    0.199348705306961347E+04    0.189494230701680770E+02
   2   -0.682077913461460071E+03    0.801486798171388841E+02
   3    0.923719378087420978E+03    0.124957842566644175E+03
   4   -0.652956538163023083E+03    0.853288858396329744E+02
   5    0.169085034251855291E+03    0.216356133115839206E+02
   6    0.177713466441372286E-03    0.100956334101786442E-01
   7    0.354181466145909757E-03    0.998382132923295550E-02
   8    0.267723612077052572E-01    0.211723247993199015E+01
   9   -0.128669761970769625E+00    0.634963054603202259E+01
  10    0.106306260937146768E+01    0.185793400270877679E+00
  11    0.779805868132564797E+02    0.328688835815755198E+00
  12    0.193607489853365955E+02    0.688812228143873106E+00
  13    0.348487297801976759E+01    0.892985240049881446E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.200276405109461393E+04
   2   -0.725512519550957222E+03
   3    0.100009740046839124E+04
   4   -0.712292227325820022E+03
   5    0.186080123195590204E+03
   6   -0.171463768230051272E-01
   7   -0.950303771130123209E-02
   8   -0.279079136482925927E+01
   9    0.193197807026121993E+00
  10    0.918727116085319429E+00
  11    0.777876087648062082E+02
  12    0.188694729956134175E+02
  13    0.441770413347022384E+01

MAP Parameters
Dim No.        Parameter
   1    0.200276405109461393E+04
   2   -0.725512519550957222E+03
   3    0.100009740046839124E+04
   4   -0.712292227325820022E+03
   5    0.186080123195590204E+03
   6   -0.171463768230051272E-01
   7   -0.950303771130123209E-02
   8   -0.279079136482925927E+01
   9    0.193197807026121993E+00
  10    0.918727116085319429E+00
  11    0.777876087648062082E+02
  12    0.188694729956134175E+02
  13    0.441770413347022384E+01
